Unnamed: 0,Column1,Wind Farm Name,Number of Turbines,Rotor diameter,Minimum hub height,Maximum hub height,Cut-in wind speed,Cut-off wind speed,Rated wind speed,Rated power,Url,Manufacturer,Unnamed: 13,Geometry,Latitude,Longitude,geometry,COUNTY
0,0,Acres Wind Farm,6.0,103.0,75.0,98.0,4.0,25.0,13.0,"2,850",https://www.thewindpower.net/windfarm_en_23735_acres.php,GE Energy,,POINT (-8.191103157247806 54.52596928820865),54.52596928820865,-8.191103157247806,POINT (-8.191103157247806 54.52596928820865),DONEGAL
1,1,Altagowlan Wind Farm,9.0,58.0,44.0,74.0,3.0,25.0,14.5,850,https://www.thewindpower.net/windfarm_en_1737_altagowlan.php,Gamesa,,POINT (-8.144207518732035 54.12264995403498),54.12264995403498,-8.144207518732035,POINT (-8.144207518732035 54.12264995403498),ROSCOMMON
2,2,An Cnoc,5.0,58.0,44.0,74.0,3.0,25.0,14.5,850,https://www.thewindpower.net/windfarm_en_27257_an-cnoc.php,Gamesa,,POINT (-7.528185066497247 52.64733953128281),52.64733953128281,-7.528185066497247,POINT (-7.528185066497247 52.64733953128281),TIPPERARY
3,3,Anarget Wind Farm (1),5.0,58.0,44.0,74.0,3.0,25.0,14.5,850,https://www.thewindpower.net/windfarm_en_27257_an-cnoc.php,Gamesa,,POINT (-8.16833821121777 54.75216441094932),54.75216441094932,-8.16833821121777,POINT (-8.16833821121777 54.75216441094932),DONEGAL
4,4,Anarget Wind Farm (2),5.0,58.0,44.0,74.0,3.0,25.0,14.5,850,https://www.thewindpower.net/windfarm_en_27257_an-cnoc.php,Gamesa,,POINT (-8.171490084241086 54.75181857217395),54.75181857217395,-8.171490084241086,POINT (-8.171490084241086 54.75181857217395),DONEGAL
5,5,Anarget Wind Farm (3),5.0,58.0,44.0,74.0,3.0,25.0,14.5,850,https://www.thewindpower.net/windfarm_en_27257_an-cnoc.php,Gamesa,,POINT (-8.167527579590203 54.75522935793025),54.75522935793025,-8.167527579590203,POINT (-8.167527579590203 54.75522935793025),DONEGAL
6,6,"Arklow Bank Wind Farm (1)
Wind (Offshore)",100.0,103.0,75.0,100.0,4.0,25.0,13.0,"3,600",https://www.thewindpower.net/windfarm_en_1741_arklow-bank.php,GE Energy,,POINT (-6.088454581225528 52.79204788555904),52.79204788555904,-6.088454581225528,POINT (-6.088454581225528 52.79204788555904),
7,7,Athea,7.0,82.5,65.0,100.0,3.0,25.0,12.0,"1,600",https://www.thewindpower.net/windfarm_en_18006_athea.php,GE Energy,,POINT (-9.29802026962328 52.43899420039607),52.43899420039607,-9.29802026962328,POINT (-9.29802026962328 52.43899420039607),LIMERICK
8,8,Ballagh Wind Farm,2.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_23059_ballagh.php,Enercon,,POINT (-9.084219299726676 52.36889598676182),52.36889598676182,-9.084219299726676,POINT (-9.084219299726676 52.36889598676182),LIMERICK
9,9,"Ballaman (Kennystown) Wind Farm
Wind",2.0,90.0,80.0,105.0,3.0,25.0,13.0,"1,800",https://www.thewindpower.net/windfarm_en_17466_ballaman.php,Vestas,,POINT (-6.543710570440514 52.62308674471972),52.62308674471972,-6.543710570440514,POINT (-6.543710570440514 52.62308674471972),WEXFORD
10,10,Ballincollig Hill Wind Farm (Lee Strand),11.0,48.0,50.0,76.0,3.0,25.0,14.0,800,https://www.thewindpower.net/windfarm_en_19948_ballincollig-hill.php,Enercon,,POINT (-9.592846943426071 52.30805683656618),52.30805683656618,-9.592846943426071,POINT (-9.592846943426071 52.30805683656618),KERRY
11,11,Ballincurry Wind Farm Ltd (Glengoole),,,,,,,,,,,,POINT (-7.626697484420236 52.61545961109382),52.61545961109382,-7.626697484420236,POINT (-7.626697484420236 52.61545961109382),TIPPERARY
12,12,"Ballinlough Wind Farm
Wind",3.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_3852_ballinlough-ikerrin.php,Vestas,,POINT (-8.011500531889673 52.83020127631763),52.83020127631763,-8.011500531889673,POINT (-8.011500531889673 52.83020127631763),TIPPERARY
13,13,"Ballinveny Wind Farm
Wind",3.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_1849_ballinveny.php,Vestas,,POINT (-7.953136611486344 52.81694468247969),52.81694468247969,-7.953136611486344,POINT (-7.953136611486344 52.81694468247969),TIPPERARY
14,14,Ballon Wind,0.0,52.0,40.0,65.0,3.0,25.0,14.0,850,https://www.thewindpower.net/windfarm_en_27242_ballon-wind.php,Vestas,,POINT (-6.803612061130292 52.72471708899695),52.72471708899695,-6.803612061130292,POINT (-6.803612061130292 52.72471708899695),CARLOW
15,15,"Ballybane (Glanta Commons) Wind Farm
Wind",2.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_3844_ballybane.php,Enercon,,POINT (-9.379970366906262 51.63174776540333),51.63174776540333,-9.379970366906262,POINT (-9.379970366906262 51.63174776540333),CORK
16,16,Ballybane 2 (Glanta Commons) Wind Farm,2.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_6704_ballybane.php,Enercon,,POINT (-9.379970366906262 51.63174776540333),51.63174776540333,-9.379970366906262,POINT (-9.379970366906262 51.63174776540333),CORK
17,17,Ballybane 2A (Glanta Commons) Wind Farm,2.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_22490_ballybane.php,Enercon,,POINT (-9.379970366906262 51.63174776540333),51.63174776540333,-9.379970366906262,POINT (-9.379970366906262 51.63174776540333),CORK
18,18,Ballybane 2A (Glanta Commons) Wind Farm Extension,2.0,71.0,57.0,113.0,2.0,25.0,15.5,"2,300",https://www.thewindpower.net/windfarm_en_29933_ballybane.php,Enercon,,POINT (-9.379970366906262 51.63174776540333),51.63174776540333,-9.379970366906262,POINT (-9.379970366906262 51.63174776540333),CORK
19,19,Ballybane 3 (Glanta Commons) Wind Farm,,,,,,,,,,,,POINT (-9.379970366906262 51.63174776540333),51.63174776540333,-9.379970366906262,POINT (-9.379970366906262 51.63174776540333),CORK
20,20,Ballybay Wind Farm (Tullaroan),6.0,82.0,59.0,84.0,2.0,25.0,14.0,"2,350",https://www.thewindpower.net/windfarm_en_23060_ballybay.php, Enercon E82/2350,,POINT (-7.508590335291997 52.66181157314142),52.66181157314142,-7.508590335291997,POINT (-7.508590335291997 52.66181157314142),KILKENNY
21,21,"Ballycadden Wind Farm (1)
Wind",4.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_20104_ballycadden.php,Enercon,,POINT (-6.530214992179287 52.64630887596431),52.64630887596431,-6.530214992179287,POINT (-6.530214992179287 52.64630887596431),WEXFORD
22,22,"Ballycadden Wind Farm (2)
Wind",4.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_23115_ballycadden.php,Enercon,,POINT (-6.525470329800435 52.64369710871916),52.64369710871916,-6.525470329800435,POINT (-6.525470329800435 52.64369710871916),WEXFORD
23,23,Ballycumber Wind Farm,6.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_25199_ballycumber.php,Enercon,,POINT (-6.468145104410645 52.8334134749047),52.8334134749047,-6.468145104410645,POINT (-6.468145104410645 52.8334134749047),WICKLOW
24,24,"Ballycurreen Wind Farm
Wind",2.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_22154_ballycurreen.php,Enercon,,POINT (-7.597861313170009 52.02934824934817),52.02934824934817,-7.597861313170009,POINT (-7.597861313170009 52.02934824934817),WATERFORD
25,25,"Ballyduff Wind Farm
Wind",0.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_27258_ballyduff.php,Enercon,,POINT (-6.481211171185102 52.64584362575522),52.64584362575522,-6.481211171185102,POINT (-6.481211171185102 52.64584362575522),WEXFORD
26,26,"Ballyduff Wind Farm
Wind",0.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_27259_ballyduff.php,Enercon,,POINT (-6.480386267124316 52.64619260066623),52.64619260066623,-6.480386267124316,POINT (-6.480386267124316 52.64619260066623),WEXFORD
27,27,Ballymartin (1) (Smithstown),4.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_1713_ballymartin.php,Enercon,,POINT (-7.107502547503628 52.3873081863207),52.3873081863207,-7.107502547503628,POINT (-7.107502547503628 52.3873081863207),KILKENNY
28,28,Ballymartin (2) - Smithstown,4.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_21330_ballymartin.php,Enercon,,POINT (-7.106230534857963 52.39137043932502),52.39137043932502,-7.106230534857963,POINT (-7.106230534857963 52.39137043932502),KILKENNY
29,29,"Ballynancoran Wind Farm
Wind",2.0,82.0,78.0,138.0,2.0,25.0,14.0,"2,300",https://www.thewindpower.net/windfarm_en_21066_ballynancoran.php,Enercon,,POINT (-6.526368498659162 52.66708804819756),52.66708804819756,-6.526368498659162,POINT (-6.526368498659162 52.66708804819756),WEXFORD
30,30,Ballynultagh Wind Farm,,,,,,,,,,,,POINT (-6.542178659013475 52.77747543251184),52.77747543251184,-6.542178659013475,POINT (-6.542178659013475 52.77747543251184),WICKLOW
31,31,Ballywater,5.0,70.0,64.0,113.0,2.0,25.0,14.0,"2,000",https://www.thewindpower.net/windfarm_en_350_ballywater.php,Enercon,,POINT (-6.251044023299167 52.5377926181519),52.5377926181519,-6.251044023299167,POINT (-6.251044023299167 52.5377926181519),WEXFORD
32,32,Ballywater,5.0,70.0,64.0,113.0,2.0,25.0,14.0,"2,000",https://www.thewindpower.net/windfarm_en_18007_ballywater.php,Enercon,,POINT (-6.251044023299167 52.5377926181519),52.5377926181519,-6.251044023299167,POINT (-6.251044023299167 52.5377926181519),WEXFORD
33,33,Barranafaddock Wind Farm,12.0,103.0,75.0,98.0,4.0,25.0,13.0,"2,850",https://www.thewindpower.net/windfarm_en_22835_barranafaddock.php,GE Energy,,POINT (-8.104218929417828 52.17700961335966),52.17700961335966,-8.104218929417828,POINT (-8.104218929417828 52.17700961335966),WATERFORD
